Sr_No,Round,Institute,Program,Stream,Quota,Category,Seat_Gender,Opening_Rank,Closing_Rank,Remark
1432,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Civil Engineering,B.Tech,Home State,SC,Both Male and Female Seats,447157.0,545024.0,Fresh Only
1433,Round 1,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,218718.0,411953.0,Fresh Only
1434,Round 1,"MORADABAD INSTITUTE OF TECHNOLOGY,MORADABAD",Computer Science And Engineering(Data Science) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,268486.0,388506.0,Fresh Only
1435,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Mechanical Engineering,B.Tech,Home State,EWS(GL),Female Seats,170723.0,170723.0,Fresh Only
1436,Round 1,"Bundelkhand University, Jhansi",Electronics and Communication Engineering,B.Tech,Home State,BC(AF),Both Male and Female Seats,685663.0,685663.0,Fresh Only
1437,Round 1,"S R GROUP OF INSTITUTIONS (COLLEGE OF SCIENCE AND ENGINEERING),JHANSI",Computer Science & Engineering (Cyber Security),B.Tech,Home State,OPEN(GIRL),Female Seats,675414.0,788518.0,Fresh Only
1438,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,SC,Both Male and Female Seats,340903.0,1331929.0,Fresh Only
1439,Round 1,"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Data Science),B.Tech,Home State,EWS(GL),Female Seats,281581.0,313052.0,Fresh Only
1440,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Information Technology (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,141120.0,155020.0,Fresh Only
1441,Round 1,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Information Technology,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,332942.0,399766.0,Fresh Only
1442,Round 1,"DRONACHARYA GROUP OF INSTITUTIONS,GAUTAM BUDDH NAGAR",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,295237.0,589721.0,Fresh Only
1443,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,BC,Both Male and Female Seats,276424.0,327226.0,Fresh Only
1444,Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Computer Science and Engineering,B.Tech,Home State,SC(Girl),Female Seats,515960.0,641405.0,Fresh Only
1445,Round 1,"NITRA TECHNICAL CAMPUS,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,206713.0,354518.0,Fresh Only
1446,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,ST,Both Male and Female Seats,1256434.0,1256434.0,Fresh Only
1447,Round 1,"RAJKIYA ENGINEERING COLLEGE,BIJNOR",Information Technology,B.Tech,Home State,BC,Both Male and Female Seats,175726.0,183001.0,Fresh Only
1448,Round 1,"RAJKIYA ENGINEERING COLLEGE,KANNAUJ",Electronics Engineering,B.Tech,Home State,BC,Both Male and Female Seats,307857.0,367762.0,Fresh Only
1449,Round 1,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Mechanical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,230168.0,291839.0,Fresh Only
1450,Round 1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,SITAPUR",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,1044450.0,1044450.0,Fresh Only
1451,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Artificial Intelligence And Machine Learning (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,147331.0,154079.0,Fresh Only
1452,Round 1,"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,1124894.0,1124894.0,Fresh Only
